Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Palm,0.00542702034628404,-0.0153261828960426,-0.00331775831735218,0,0,0,0.12595408931589,5.33078079883839E-05,6.80968134351283E-07,-7.95409066394676E-06,0.000121852360840743,-1.56774052583154E-06,0.000126417743584675,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Palm.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Palm.STL,,Palm Sub Assembly _1_.step-1/Wrist.step-1;Backhand Sub Assembly _1_.step-1/backhand.step-1;Palm Sub Assembly _1_.step-1/palm.step-1;Tophand Sub Assembly _1_.step-1/tophand - pinky + ring.step-1;Tophand Sub Assembly _1_.step-1/tophand - index + middle.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Index_MCP,0.0288723846218028,-1.28992836481712E-08,0.00378475045602162,0,0,0,0.00327912415799064,1.41290464856069E-07,2.3268258803478E-15,-8.23139112924128E-10,3.58573756788115E-07,5.12742103479596E-14,4.20814642779602E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_MCP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_MCP.STL,,Index_Middle_Ring Assembly _2_.step-1/Finger - Joint 1.step-1,Origin_Index_MCP3,,Index_MCP,revolute,0.0422,0.0026007,-0.12322,2.5326,-1.3601,2.1257,Palm,0,0,0,0,0,0,0,,,,,,,,
Index_DIP,0.000734413748040258,-1.34435329920274E-07,0.00333493475378864,0,0,0,0.00300529600906836,9.14347124492149E-08,6.87460618871933E-13,9.51049053465791E-09,2.50136052110671E-07,-9.0601934678023E-13,2.7749019855714E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_DIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_DIP.STL,,Index_Middle_Ring Assembly _2_.step-1/Finger - Joint 2.step-1,Origin_Index_DIP3,,Index_DIP,revolute,-0.0006157,0,0.0020311,0,0.17453,0,Index_MCP,0,0,0,0,0,0,0,,,,,,,,
Index_PIP,-0.0274082864999729,1.00210984628479E-07,0.00320314184184918,0,0,0,0.00356976709245697,1.11979347030368E-07,1.89132850331097E-12,-1.23407955200532E-08,2.91756149799755E-07,8.4756428845289E-13,3.32126996846302E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_PIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Index_PIP.STL,,Index_Middle_Ring Assembly _2_.step-1/Finger - Joint 3.step-1,Origin_Index_PIP3,,Index_PIP,revolute,0,0,0,0,0,0,Index_DIP,0,0,0,0,0,0,0,,,,,,,,
Middle_MCP,0.0288723883673292,-9.49407751894837E-09,0.00378477344579253,0,0,0,0.00327911243246083,1.41289936523514E-07,7.30667671947528E-14,-8.22938282805633E-10,3.58571786982875E-07,7.19973200752265E-14,4.20812624879611E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_MCP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_MCP.STL,,Index_Middle_Ring Assembly _3_.step-1/Finger - Joint 1.step-1,Origin_Middle_MCP3,,Middle_MCP,revolute,0.01518,0.0095414,-0.12678,1.5272,-1.5708,0,Palm,0,0,0,0,0,0,0,,,,,,,,
Middle_DIP,0.000734411874024732,-1.31356892699858E-07,0.00333493692396733,0,0,0,0.0030052951603588,9.14347535880294E-08,7.13882426711299E-13,9.51040830783885E-09,2.50135897841292E-07,-9.47555003073026E-13,2.77490105957776E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_DIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_DIP.STL,,Index_Middle_Ring Assembly _3_.step-1/Finger - Joint 2.step-1,Origin_Middle_DIP3,,Middle_DIP,revolute,0,0,0,0,0,0,Middle_MCP,0,0,0,0,0,0,0,,,,,,,,
Middle_PIP,-0.0274082879981569,9.97468629377468E-08,0.0032031423234857,0,0,0,0.0035697679495293,1.11979304164007E-07,1.7216669734829E-12,-1.23407821598614E-08,2.91756255575108E-07,7.5604039766423E-13,3.32127015597567E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_PIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Middle_PIP.STL,,Index_Middle_Ring Assembly _3_.step-1/Finger - Joint 3.step-1,Origin_Middle_PIP3,,Middle_PIP,revolute,0,0,0,0,0,0,Middle_DIP,0,0,0,0,0,0,0,,,,,,,,
Ring_MCP,0.0288723878014377,-7.11557345358695E-09,0.00378475517527948,0,0,0,0.00327912106977147,1.41290358756154E-07,9.2842233711606E-14,-8.23018832573341E-10,3.58573511962594E-07,9.22480523524179E-14,4.20814347169238E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_MCP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_MCP.STL,,Index_Middle_Ring Assembly _1_.step-1/Finger - Joint 1.step-1,Origin_Ring_MCP3,,Ring_MCP,revolute,-0.013313,0.013253,-0.12509,-1.2806,-1.4598,-0.34861,Palm,0,0,0,0,0,0,0,,,,,,,,
Ring_DIP,0.000734408991983959,-1.2934669113172E-07,0.00333493923161951,0,0,0,0.00300529389020819,9.14347671958401E-08,7.30508706208178E-13,9.51036963633025E-09,2.50135803853248E-07,-9.93138148031057E-13,2.77490043515239E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_DIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_DIP.STL,,Index_Middle_Ring Assembly _1_.step-1/Finger - Joint 2.step-1,Origin_Ring_DIP3,,Ring_DIP,revolute,0,0,0,0,0,0,Ring_MCP,0,0,0,0,0,0,0,,,,,,,,
Ring_PIP,-0.02740827895642,1.00945133223911E-07,0.00320314931394115,0,0,0,0.00356976241817527,1.11979151950286E-07,1.6521472387838E-12,-1.23402406165857E-08,2.91755752392006E-07,7.13174165022662E-13,3.3212644786114E-07,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_PIP.STL,0.43921568627451,0.474509803921569,0.501960784313725,1,0,0,0,0,0,0,package://Hand Assembly_URDF/meshes/Ring_PIP.STL,,Index_Middle_Ring Assembly _1_.step-1/Finger - Joint 3.step-1,Origin_Ring_PIP3,,Ring_PIP,revolute,-0.0025746,0,-0.0042316,0,0.32359,0,Ring_DIP,0,0,0,0,0,0,0,,,,,,,,
